,Years,Ratio_Women_to_TotalContributers
221,2180,0.8048105502108704
222,2181,0.8085044545709756
223,2182,0.8121983589310791
224,2183,0.8158922632911842
225,2184,0.8195861676512877
226,2185,0.8232800720113929
227,2186,0.8269739763714963
228,2187,0.8306678807316015
229,2188,0.8343617850917067
230,2189,0.8380556894518101
231,2190,0.8417495938119153
232,2191,0.8454434981720187
233,2192,0.8491374025321239
234,2193,0.8528313068922273
235,2194,0.8565252112523325
236,2195,0.8602191156124359
237,2196,0.8639130199725411
238,2197,0.8676069243326445
239,2198,0.8713008286927497
240,2199,0.8749947330528549
